"BlueOdds","RedOdds","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgTDLanded","RedAvgTDLanded","BlueAvgTDPct","RedAvgTDPct","BlueAge","RedAge","Winner"
-115,105,0.57,0.545,12.4286,25,1.2,1.0556,1,0.28,34,32,"1"
300,-425,0.61,0.5,6.07,3.02,0.96,4.2,1,0.66,30,28,"1"
-155,135,0.525,0.54,2.83,3.24,1.49,1.37,0.4,0.5,36,38,"1"
-155,135,0.51,0.37,3.33,4.36,1.02,0,0.43,0,31,27,"0"
160,-200,0.36,0.375,31,77.25,1.25,1.0769,0.396,0.83,27,26,"1"
155,-180,0.66,0.4,20.1429,37.3333,1.5,2,0.5,0.313,33,37,"1"
335,-420,0.285,0.375,0.9,3.07,0,2.66,0,0.31,34,22,"1"
115,-135,0.46,0.537,42.619,22.5,0,1.875,0,0.375,27,37,"1"
220,-270,0.44,0.413,44.8125,18.6,4,1,0.513,0.5,34,35,"0"
-675,550,0.41,0.37,68,29.5,0.2353,1.51,0.25,0.368,28,33,"0"
435,-600,0.41,0.59,1.49,4.83,2.94,2.12,0.5,0.577,29,28,"1"
100,-120,0.409,0.466,33.8571,20,0,0.1364,0,0.063,25,28,"0"
167,-178,0.425,0.485,42.625,33.8333,0,2.1667,0,0.699,24,28,"1"
265,-295,0.15,0.371,4,24.5,0,1.3333,0,0.5,28,26,"1"
-200,185,0.428,0.577,49,36.8333,2,2.3,0.28,0.4,27,35,"0"
160,-170,0.497,0.407,29.4,17.2,1.19,1.2,0.333,0.303,36,40,"1"
-148,117,0.59,0.52,29.3,42.9,0,1.3077,0,0.282,28,30,"1"
105,-125,0.55,0.455,25.2857,31,0.5,1,0.123,0.379,41,33,"0"
-220,180,0.5,0.48,3.42,5.35,1.55,0.36,0.27,0.2,30,35,"0"
130,-150,0.64,0.494,33.5217,31.375,0,0,0,0,28,28,"1"
59.7932402411945,-115.711474369147,0.37,0.38,2.26,2.73,0,0,0,0,28,33,"1"
735,-900,0.473,0.534,39.6667,44.3333,2.4286,4.4444,0.55,0.445,32,27,"1"
110,-120,0.435,0.491,65,27.8333,0,1.1667,0,0.228,28,31,"1"
215,-255,0.305,0.412,26,24.6667,0,2.875,0,0.537,32,31,"1"
110,-120,0,0.473,0,17,0,0.3333,0,0.364,36,40,"0"
110,-130,0.413,0.44,3.71,1.9,0.99,2.49,0.27,0.39,35,31,"1"
-130,120,0.32,0.535,34.25,34.75,3.5,0.6,0.383,0.171,32,32,"0"
135,-145,0.422,0.413,35.1667,51.0769,0.6667,0.7143,0.233,0.08,28,28,"1"
160,-185,0.622,0.565,24,32.6316,0,1.8889,0,0.37,32,30,"1"
135,-145,0.354,0.39,2.98,3.51,0,0,0,0,31,29,"1"
150,-170,0.5,0.52,3.56,4.38,1.95,1.62,0.42,0.4,36,31,"0"
-218,180,0.34,0.465,4.53,3.16,0,1.01,0,0.42,27,33,"0"
-295,220,0.47,0.373,54,65,1.4,0,0.319,0,28,36,"0"
170,-185,0.52,0.394,13,24.8462,1.1818,0,0.75,0,30,32,"1"
135,-145,0.371,0.42,3.2,3.9,1.57,1.73,0.28,0.43,30,34,"0"
130,-150,0.4,0.51,36.2,25.3333,0.4286,1.75,0.104,0.398,35,33,"1"
185,-225,0.36,0.499,25,30.2,3.3333,1,0.274,0.5,29,33,"1"
200,-240,0.5,0.379,57,16,4,0,0.51,0,27,28,"0"
-300,250,0.465,0.393,17,38.2857,0,2.0909,0,0.22,29,33,"0"
-205,170,0.496,0.41,2.13,3.05,2.88,1.84,0.68,0.5,30,35,"1"
-525,415,0.53,0.55,16,41.8824,0,0.1667,0,0.182,27,37,"0"
155,-180,0.36,0.5,5.38,4.33,0,2.09,0,0.54,27,33,"0"
230,-250,0.33,0.477,21.25,43.3684,2,2.375,0.43,0.7,37,26,"0"
340,-380,0.397,0.62,51.381,48,0.4,3,0.333,0.749,30,33,"1"
195,-235,0.5,0.39,4.51,2.15,1.19,1.34,0.41,0.27,28,26,"0"
-140,130,0.372,0.46,30.25,13,1,0.1364,0.25,0.063,25,29,"0"
205,-245,0.36,0.29,8,35,2,2,0.574,0.283,30,32,"1"
150,-170,0.34,0.46,33,51.7143,2.3333,2.9231,0.38,0.465,27,26,"0"
59.7932402411945,-115.711474369147,0.43,0.37,3,4.76,3.63,1.83,0.36,0.3,27,35,"0"
275,-305,0.76,0.394,34,54.6667,4.5,0.5,1,0.25,29,28,"1"
-225,190,0.57,0.5,8.43,3.71,0,2.11,0,0.31,38,33,"1"
255,-310,0.394,0.698,45.7857,68,0.25,0.5,0.083,0.333,31,27,"1"
140,-150,0.365,0.517,34.7143,55.5,1.1667,1.0556,0.35,0.251,26,28,"1"
145,-180,0.34,0.47,26,48.25,2,2.25,0.353,0.425,30,27,"1"
245,-290,0.315,0.45,23,41.1667,0,0.5,0,0.5,27,29,"1"
200,-245,0.27,0.52,4.08,32.5,0,0.75,0,0.5,25,29,"1"
500,-700,0.416,0.363,39.5,24,0.5,2.8824,0.5,0.63,31,24,"1"
-190,150,0.48,0.42,5.72,3.74,0,0.64,0,0.2,26,37,"0"
205,-245,0.5,0.57,4.8,4.25,0,3.69,0,0.34,26,30,"0"
-220,180,0.348,0.46,55,49.6667,2.3333,1.75,0.346,0.545,28,28,"1"
114,-135,0.43,0.42,3.53,5.95,1.95,1.73,0.41,0.55,31,28,"1"
-225,185,0.56,0.39,4.16,5.61,1.58,1.46,0.43,0.25,27,41,"0"
-135,115,0.543,0.47,4.14,3.13,0.51,1.26,0.6,0.44,39,40,"1"
-105,-115,0.44,0.43,3.05,3.3,2.43,0.06,0.42,0.12,27,33,"0"
132,-150,0.431,0.338,6,4.51,0.34,0.2778,0.26,0.42,31,34,"1"
-210,176,0.44,0.47,7.29,19.91,0,1.06,0,0.37,35,39,"0"
-140,120,0.4,0.53,4.44,4.38,1.22,2.09,0.34,0.37,27,28,"1"
120,-150,0.46,0.418,33,68,0.3333,1.3333,0.333,0.279,28,26,"0"
110,-137,0.25,0.34,7,2.18,0,0,0,0,32,36,"0"
-105,-115,0.43,0.39,5.64,3.63,0.36,1.08,0.26,0.45,31,35,"1"
105,-125,0.46,0.51,2.8,3.73,1.97,0,0.35,0,31,36,"1"
165,-195,0.34,0.72,46,20,2,1.5,0.43,0.2,24,37,"1"
250,-300,0.47,0.531,46.6667,9.5,1.5,0,0.426,0,30,31,"1"
750,-950,0.46,0.45,9.5,36.6667,1.5,1.3333,0.211,0.179,31,29,"1"
-155,135,0.48,0.51,23,31,0.5714,1,0.262,0.3,35,35,"1"
154,-185,0.43,0.52,4.06,4.38,0.85,0,0.3,0,29,29,"1"
125,-145,0.35,0.475,1.41,3.07,0.56,2.89,0.66,0.31,35,39,"1"
-160,140,0.436,0.59,2.77,4.43,2.4,0,0.41,0,22,32,"0"
142,-153,0.509,0.563,39.3,33.25,1.4,0.9412,0.632,0.75,25,31,"0"
-198,164,0.38,0.53,2.94,7.36,0.67,3.26,0.24,0.55,36,29,"0"
-120,100,0.363,0.495,22.5714,40.875,3,0.6667,0.435,0.171,32,34,"0"
235,-275,0.405,0.54,19.841809878528,21.1527659641032,0.5,7.05,0.33,0.397,37,31,"0"
375,-470,0.505,0.531,41.2,47.5714,0,2,0,0.33,32,30,"1"
-154,130,0.5,0.39,3.63,3.05,1.38,1.08,0.19,0.36,26,33,"0"
195,-238,0.47,0.379,57,28,3.6,1.6,0.598,0.577,25,28,"0"
135,-155,0.39,0.51,1.84,3.73,1.35,1.56,0.2,0.42,33,31,"0"
-280,255,0.369,0.43,29,7.5,0,0.5,0,0.277,30,30,"0"
185,-225,0.55,0.55,4.49,5.6,0.93,0.87,0.5,0.55,31,36,"1"
220,-260,0.37,0.53,2.73,4.94,1.85,0.62,1,0.33,30,34,"1"
365,-410,0.485,0.4,33.619,38.4,1.75,2.3333,0.32,0.303,29,26,"1"
290,-380,0.49,0.48,4.49,5.69,1.2,1.56,0.375,0.132,36,30,"0"
125,-145,0.59,0.5,2.63,3.5,9.93,1.48,0.75,0.5,28,34,"0"
-165,145,0.448,0.43,25.875,22,0.2727,1.7778,0.145,0.53,26,40,"1"
165,-195,0.55,0.4,4.77,3.43,1.11,0.88,0.463,0.16,34,34,"0"
225,-286,0.49,0.429,36.6,26.25,0,1,0,0.345,27,27,"0"
825,-1000,0.339,0.403,35,28.7273,1,0.9,0.667,0.258,34,36,"1"
155,-180,0.46,0.52,4.33,2.66,2.04,1.92,0.37,0.83,28,30,"0"
155,-175,0.523,0.38,6.11,6.01,0.99,0.49,0.2,0.62,29,33,"1"
-165,145,0.466,0.505,20.6667,29.7143,0,3,0,0.516,27,31,"1"
-290,230,0.52,0.614,62.6667,61.8889,7.3333,0.5,0.46,0.181,30,30,"0"
59.7932402411945,-115.711474369147,0.48,0.4,4.08,4.1,1.76,0.67,0.56,0.17,33,29,"0"
-170,150,0.42,0.48,4.25,5.76,1.75,0.36,0.36,0.28,28,32,"1"
155,-180,0.428,0.675,41.3333,23,0.4286,0.11,0.08,0.091,36,38,"1"
175,-210,0.45,0.4,3.03,2.6,0.67,0.98,0.6,0.27,30,36,"1"
410,-575,0.41,0.463,9.5,24.2,0.47,0,0.5,0,37,34,"1"
-170,145,0.58,0.4,18.3,31,1.6,1,0.63,0.553,23,36,"1"
-120,100,0.477,0.59,5.76,5.56,0.55,0.7273,0.54,0.66,31,30,"1"
-160,140,0.5,0.52,4.05,3.61,0.9,1.38,0.3,0.45,32,37,"1"
450,-630,0.48,0.52,5,4.34,0.4,2.56,0.25,0.54,23,27,"1"
145,-165,0.57,0.48,37.5,14.75,2,0,0.645,0,26,26,"0"
-240,200,0.43,0.36,4.59,2.18,0.29,4.38,1,0.48,29,32,"0"
245,-305,0.54,0.511,30.5,26.8333,1.4118,0.7143,0.5,0.33,27,30,"1"
300,-400,0.39,0.56,5.96,4.94,0.46,2.02,0.12,0.66,29,26,"1"
-150,130,0.45,0.41,47.5,31.6154,1.2857,1.25,0.5,0.433,23,29,"0"
142,-170,0.46,0.55,5.59,4.71,0.13,2.09,0.22,0.8,34,30,"0"
157,-180,0.66,0.533,17.6364,39.6667,1,0.8571,0.31,0.333,42,40,"1"
-167,150,0.22,0.38,8.6667,2.53,0,1.01,0,1,24,28,"1"
-170,150,0.54,0.378,24,33,1,1,0.27,0.443,34,38,"0"
120,-140,0.36,0.725,9,2.53,0.17,2.19,0.1,0.42,26,26,"1"
190,-210,0.408,0.49,2.29,3.83,0.94,2.17,0.27,0.29,31,21,"1"
-145,125,0.59,0.34,19.841809878528,15.5,3.6,0.4286,1,0.214,29,33,"0"
112,-139,0.46,0.45,4.96,6.54,0.18,1.04,0.33,0.27,32,33,"0"
-550,425,0.487,0.44,3.65,2.05,0.39,0,0.46,0,38,41,"0"
59.7932402411945,-115.711474369147,0.5,0.45,3.65,3.87,0.38,1,0.37,0.27,40,28,"1"
525,-750,0.4,0.62,62.6667,25,1.04,0.4286,0.34,0.177,37,25,"1"
-215,185,0.6,0.431,4.72,3.82,0.69,0.75,0.37,0.33,36,39,"1"
185,-225,0.34,0.38,3.4,3.51,0,0.86,0,0.54,29,32,"1"
315,-380,0.44,0.48,6.01,2.68,0.44,3.71,0.25,0.5,26,29,"1"
-420,335,0.45,0.439,36.6,10.4545,0.8333,0.16,0.444,0.091,25,28,"0"
165,-175,0.24,0.257,34.6667,1,1,1,1,0.26,28,18,"0"
-120,100,0.363,0.8,32,37.3,1,0.5714,0.33,0.29,24,40,"0"
-110,100,0.57,0.36,4.58,2.9,0.6,3.28,0.21,0.37,24,29,"1"
230,-250,0.54,0.403,25.3846,50.0769,0.5,0.4286,0.35,0.25,35,36,"1"
107,-138,0.48,0.54,3.39,4.9,2.5,1,0.35,0.8,31,30,"1"
170,-200,0.45,0.42,7.49,32.4,1.5,1.5714,0.5,0.404,31,33,"1"
310,-350,0.33,0.55,1.87,5.06,0.5,3.21,0.5,0.564,32,30,"0"
-250,230,0.6,0.24,18,31.5,0.6667,0.6,0.25,0.212,27,34,"1"
115,-135,0.585,0.497,33.6667,40,0,0,0,0,24,29,"1"
205,-245,0.54,0.48,7.66,4.32,0.5,3.58,0.5,0.343,34,31,"0"
195,-235,0.64,0.494,38.8571,27.3333,3.1429,3,0.7,0.483,23,31,"1"
110,-115.711474369147,0.455,0.484,54.6,18.4,0.8,1.6667,0.259,0.375,25,25,"1"
140,-165,0.41,0.46,2.88,4.28,1,3.85,0.28,0.38,30,25,"1"
130,-150,0.4,0.51,1.47,4.28,0,0.37,0,0.14,32,24,"1"
-260,220,0.41,0.42,4.15,3.76,2.95,1.75,0.41,0.4,27,39,"0"
275,-330,0.38,0.36,4.35,2.98,0.7,2.19,0.25,0.58,29,22,"1"
135,-155,0.492,0.44,30.4375,21.6364,0.67,0.75,0.333,0.285,36,39,"1"
140,-160,0.48,0.45,5.35,3.09,0.48,0.5,0.33,0.27,36,30,"1"
102,-122,0.49,0.453,43.2917,46,0.6923,1.0769,0.329,0.189,27,32,"0"
248,-270,0.445,0.428,20.5833,26.8,4,1.2,0.326,0.363,32,35,"0"
120,-140,0.39,0.475,3.84,4.35,0,0.36,0,0.22,31,26,"0"
108,-130,0.44,0.548,16,55.8,0.3333,2,0.222,0.5,27,25,"1"
-210,-115.711474369147,0.46,0.46,3.83,4.77,0,2.28,0,0.38,29,31,"1"
-430,365,0.3,0.552,44,27.8,0.2,2.5556,0.12,0.7,36,31,"0"
135,-155,0.475,0.444,17,42.4286,0,0.2,0,0.3,30,30,"1"
-345,315,0.4,0.45,3.38,1.95,3.84,1.75,0.57,0.24,28,32,"0"
-198,164,0.58,0.552,17,26.5714,1.24,0.1538,0.572,0.119,34,28,"1"
277,-310,0.338,0.575,46,32.5,1.3333,1.0952,0.117,0.46,32,29,"1"
165,-190,0.452,0.464,39.4348,36.9167,0.4286,1,0.133,0.43,35,30,"1"
130,-162,0.52,0.41,4.14,4.49,4.43,0.8,0.57,0.3,34,31,"1"
-111,100,0.57,0.468,55,15,1,0.2222,0.332,0.222,24,32,"1"
125,-145,0.23,0.35,3.25,23.5,0,3.1667,0,0.44,26,27,"1"
-125,105,0.46,0.5,3.03,3.01,1.97,2.69,0.5,0.5,34,33,"0"
-105,-115,0.54,0.6,3.04,2.62,1.13,3.19,0.42,0.25,32,27,"1"
-155,135,0.468,0.418,25,22.9375,0.5,4.1667,0.123,0.398,31,28,"0"
-120,100,0.48,0.54,5.07,3.7,0.73,1.4,1,0.45,27,23,"0"
140,-177,0.31,0.545,61.5,32.5,0.5,2,0.5,0.382,31,33,"1"
-200,185,0.482,0.368,19.841809878528,21.1527659641032,0.57,2.2667,0.06,0.3,25,25,"0"
59.7932402411945,-115.711474369147,0.55,0.33,2.41,2.64,3.38,0.29,0.39,0.2,27,38,"0"
125,-145,0.486,0.509,30.375,13.5333,3.5,1.03,0.527,0.353,30,37,"1"
-140,120,0.332,0.473,34.25,34.75,0.4286,1.0833,0.075,0.295,29,36,"1"
-155,145,0.453,0.4,4.24,4.04,4.5,0.67,0.75,0.23,33,32,"1"
335,-420,0.427,0.344,29,25,2.25,1.1818,0.261,0.25,34,32,"0"
59.7932402411945,-115.711474369147,0.48,0.46,3.56,3.11,0,1.5,0,0.44,29,37,"0"
-215,178,0.44,0.47,7.29,32.4,0.6667,0.6667,0.62,0.245,28,31,"0"
-130,105,0.503,0.49,7.09,3.72,0.36,1.66,0.75,0.3,34,37,"1"
-185,170,0.445,0.335,64.5,54,0.6667,1,0.298,0.375,25,35,"1"
275,-330,0.38,0.463,27,20.75,0.3333,2,0.333,0.444,36,28,"1"
-135,115,0.543,0.408,22.5,29.5,0.6364,0.36,0.126,0.4,29,25,"0"
-145,125,0.414,0.403,62.4737,43.25,1.4,1.5,0.373,0.183,34,32,"0"
100,-120,0.36,0.488,4.33,3.46,0.47,1.95,0.6,0.34,29,34,"1"
245,-290,0.3,0.486,0.79,2.88,0,2.89,0,0.36,34,21,"1"
230,-290,0.48,0.42,4.21,3.92,1.76,0,0.5,0,37,30,"1"
-155,135,0.44,0.485,30,34.5,0.5,0.8,0.18,0.34,27,37,"0"
-115,105,0.5,0.55,39.4444,43.125,0.75,1.3125,0.29,0.185,24,32,"1"
370,-415,0.38,0.47,27,68.8,0.8571,5,0.248,0.461,28,25,"1"
-225,185,0.409,0.37,46.6,14.5,3,0.5,0.363,0.25,26,29,"0"
-325,265,0.22,0.415,12.3333,22,1,0,0.2,0,32,22,"1"
255,-310,0.38,0.5,3.17,5.87,2.43,2.92,0.43,0.58,30,28,"1"
160,-190,0.45,0.452,32.3333,37.5714,1.75,1.1429,0.394,0.387,28,29,"1"
560,-690,0.54,0.508,29.2,19.5556,3,0,0.44,0,26,30,"1"
-115,-105,0.49,0.432,46.3333,39.4286,1.1667,1.2222,0.313,0.272,30,35,"0"
-218,180,0.54,0.5,3.87,3.24,10.86,0,0.83,0,25,26,"0"
-200,172,0.45,0.51,4.19,4.11,1.7,1.45,0.44,0.36,29,27,"0"
190,-230,0.33,0.52,28.5,37.0667,3,0.6667,0.472,0.271,34,37,"1"
255,-305,0.5,0.511,20,26.8333,4,2.5,0.39,0.471,36,30,"1"
59.7932402411945,-115.711474369147,0.5,0.54,5.07,3.19,0.46,4.18,0.26,0.48,27,32,"1"
-230,210,0.569,0.4,4.75,3.82,0.29,1.16,0.4,0.44,32,44,"0"
110,-130,0.437,0.48,2.95,4.21,4.65,1.01,0.57,0.241,33,36,"1"
180,-220,0.329,0.52,3.91,5.25,3.79,2.09,0.44,0.714,36,25,"1"
125,-145,0.537,0.793,17.75,12.5,0.6667,0,0.333,0,28,32,"1"
-162,130,0.46,0.42,2.34,4.63,4.51,1.83,0.65,0.39,36,27,"1"
-320,260,0.53,0,5,3.04,1.08,0,0.26,0,23,28,"0"
210,-250,0.47,0.42,6.43,3.65,0.24,1,1,0.26,35,33,"0"
-130,110,0.543,0.328,32,25.8,2,0.2857,0.25,0.179,28,33,"0"
360,260,0.532,0.36,4.91,3.16,0,1.14,0,0.265,36,31,"0"
-150,128,0.35,0.55,29.125,34.5,2.2667,1.25,0.468,0.189,33,30,"0"
270,-330,0.53,0.4,29,28.8462,1,2.13,0.53,0.616,27,25,"1"
200,-260,0.51,0.36,4.22,3.13,0,1.65,0,0.45,36,31,"1"
425,-575,0.485,0.37,25.5,50.7857,2,1.3077,0.76,0.367,38,25,"1"
280,-340,0.495,0.53,2.59,5.07,1.55,1.45,0.4,0.425,31,27,"1"
114,-135,0.49,0.379,40.8,48.8571,2.6,3,0.394,0.513,37,28,"0"
-198,164,0.38,0.55,3.17,3.75,0.32,0,0.33,0,30,34,"1"
165,-195,0.48,0.49,4.21,3.24,1.89,0.75,0.355,0.63,28,27,"1"
-310,255,0.507,0.383,40.5294,14.6667,0.6667,1.5,0.165,0.368,26,38,"1"
265,-325,0.248,0.59,24,55.5,3,2.8333,0.69,0.35,31,30,"1"
240,-260,0.573,0.41,33.5294,66.4444,3,0,0.4,0,28,29,"0"
225,-265,0.438,0.47,4.97,6.53,0.16,0.36,0.143,0.42,31,26,"1"
115,-135,0.313,0.604,30,38,0.5,2.2,0.5,0.18,26,24,"1"
325,-400,0.52,0.48,4.39,3.05,0.45,5.25,0.14,0.47,31,23,"1"
290,-350,0.333,0.536,2.04,3.7,1.35,1.12,0.4,0.31,33,28,"1"
255,-310,0.68,0.463,2.94,3.21,1.07,3.71,0.34,0.55,28,25,"1"
220,-270,0.44,0.47,2.22,5.22,1.31,0,0.25,0,26,29,"1"
-135,115,0.339,0.499,7.66,9.75,0,2.26,0,0.46,27,35,"0"
130,-150,0.51,0.459,49.5,19.2143,0.4286,2,0.083,0.22,29,28,"1"
625,-950,0.44,0.577,10.6667,25.75,0.5,1,0.5,0.3,27,26,"1"
135,-162,0.49,0.44,3.65,5.21,0.88,1.69,0.4,0.8,27,23,"0"
120,-140,0.44,0.53,5.8,4.84,0.13,1.23,0.33,0.28,35,34,"1"
-120,100,0.574,0.57,28.75,43.0741,0.2727,1,0.225,0.53,26,27,"0"
240,-260,0.436,0.463,61,56,3.2105,0.4286,0.15,0.269,33,27,"1"
165,-195,0.49,0.43,4.55,6.15,2.28,0.92,0.37,0.64,33,29,"0"
-165,155,0.35,0.38,2.57,4.92,1.66,0,0.66,0,29,30,"1"
340,-380,0.58,0.462,25,36.5,3.5,0,0.455,0,30,25,"1"
150,-170,0.34,0.383,2.41,2.13,3.39,1.07,0.34,0.4,30,30,"1"
265,-295,0.19,0.39,8,23,0,2.8571,0,0.41,33,28,"0"
-195,168,0.435,0.29,44,28.9,1.4286,1,0.295,0.179,29,34,"0"
-235,215,0.478,0.67,24.3333,21.1527659641032,2.5,1.9583,0.57,0.22,24,31,"1"
-500,400,0.61,0.57,3.61,7.17,1.66,1.1667,0.6,0.25,28,30,"1"
135,-155,0.41,0.56,2.14,3.15,0.56,1.78,0.23,0.4,26,40,"1"
100,-120,0.51,0.429,40,50.5,0.625,0.75,0.123,0.138,31,33,"0"
-200,170,0.57,0.45,3.7,4.54,1.87,1.06,0.43,0.23,27,36,"0"
260,-290,0.413,0.58,1.33,3.56,0,0,0,0,32,36,"1"
165,-190,0.693,0.53,36.4444,49.9167,0,0.9091,0,0.172,27,29,"1"
-165,145,0.293,0.33,31,18,0.25,1.5,0.167,0.338,24,35,"0"
-141,115,0.42,0.32,2.96,3.2,1.33,0.82,0.44,0.3,30,25,"1"
-162,130,0.42,0.48,4.25,2.8,1.65,4,0.55,0.48,28,31,"1"
-170,150,0.66,0.51,3.08,3.92,0,2.2,0,0.6,36,28,"0"
200,-240,0.447,0.49,3.13,4.1,1.61,3.7,0.2,0.6,32,29,"1"
-135,115,0.339,0.535,7.66,35,1.25,0,0.205,0,37,38,"0"
59.7932402411945,-115.711474369147,0.49,0.5,7.15,3.73,0.36,1.4,0.75,0.25,37,32,"1"
-156,135,0.36,0.49,39.7273,73,0.8182,2,0.225,0.478,27,25,"0"
-250,210,0.5,0.452,18.8,56.6,0.25,1.4615,0.153,0.264,25,35,"1"
-175,155,0.3,0.267,71,43,0,0,0,0,31,32,"0"
-130,110,0.442,0.4,4.49,3.22,0.46,1.65,0.2,0.36,25,27,"1"
115,-135,0.483,0.286,40,61.1667,0,0,0,0,24,29,"0"
-190,165,0.48,0.46,4.51,3.63,1.44,1.47,0.41,0.47,24,25,"1"
-166,130,0.58,0.6,4.76,5.33,0.69,0.76,0.57,1,39,32,"1"
-230,195,0.38,0.386,4.63,3.57,1.5,0.47,0.3,0.44,30,42,"0"
-258,220,0.409,0.605,16.6667,26.6,0,0.8571,0,0.125,27,32,"1"
-235,215,0.54,0.581,3.02,4.97,3.61,2.98,0.33,0.66,28,36,"0"
-135,125,0.438,0.365,57.5556,10.5,2.5,1.5,0.45,0.34,28,32,"0"
210,-230,0.405,0.253,28.5,2,7,0,0.753,0,26,27,"1"
-325,265,0.491,0.472,27.5,26.4231,1.75,1.375,0.32,0.33,33,36,"1"
115,-135,0.56,0.63,48.7143,54.9333,0,2.1429,0,0.833,29,28,"1"
-110,-110,0.583,0.449,20.5,34.8333,0,0.8571,0,0.322,25,30,"1"
345,-430,0.57,0.55,2.76,3.28,0,0.84,0,0.21,33,26,"0"
145,-182,0.37,0.444,13,54.8571,0,1.7692,0,0.386,30,30,"0"
-250,205,0.48,0.59,4.9,43.75,0,0.5,0,0.5,31,31,"1"
315,-380,0.51,0.48,4.49,4.31,0,6.27,0,0.52,32,26,"1"
220,-240,0.46,0.397,40,24,1,1.6,0.355,0.295,36,26,"1"
200,-240,0.49,0.47,7.16,4.77,0.84,0,0.55,0,29,32,"0"
115,-135,0.348,0.413,97,53.2,0,3.0455,0,0.595,29,28,"0"
59.7932402411945,-115.711474369147,0.46,0.58,14,13,0.3333,0.17,0.25,0.167,32,34,"1"
-155,145,0.425,0.43,3.62,2.41,0,2.22,0,0.5,37,31,"1"
140,-160,0.475,0.5,3.51,2.92,2.6,0.41,0.49,0.45,42,37,"1"
-380,300,0.46,0.5,3.14,3.35,2.4,1.54,0.45,0.55,30,35,"0"
130,-150,0.51,0.51,3.23,3.41,1.95,1.39,0.29,0.33,29,33,"0"
240,-260,0.449,0.386,36.8462,55,2,1.0625,0.385,0.201,27,25,"1"
-105,-105,0.4,0.345,46,33,1.5294,0,0.26,0,28,27,"0"
245,-290,0.45,0.45,2.5,2.6,1.34,2.22,0.21,0.31,28,27,"0"
325,-400,0.464,0.604,40.5,26,1,0.6667,0.25,0.093,30,34,"1"
105,-124,0.51,0.47,2.05,3.36,6.63,0,0.35,0,27,32,"0"
105,-125,0.51,0.519,30.5,34.5,1.7,3,0.277,0.42,35,31,"1"
59.7932402411945,-115.711474369147,0.46,0.54,3.43,3.78,0.58,0.65,1,0.15,32,27,"1"
-106,-115,0.32,0.36,16.8,21,2,1,0.415,0.372,29,28,"1"
-185,150,0.55,0.51,5.34,3.57,0.77,0.88,0.57,0.14,20,33,"0"
167,-178,0.53,0.49,2.78,2.63,1.58,3.44,0.29,0.43,32,31,"1"
176,-190,0.553,0.463,30.9412,32.6316,2.5,1.2857,0.5,0.237,33,37,"1"
130,-150,0.428,0.514,46.3333,18.3125,1.6667,0.8889,0.266,0.5,28,30,"0"
-335,260,0.4,0.326,27.4,31.8462,0,0.6,0,0.395,28,30,"0"
-145,135,0.525,0.413,35,19.7143,1.2857,0.3333,0.6,0.333,26,34,"0"
-360,300,0.55,0.477,41.6667,27.5,0,1,0,0.26,29,33,"0"
235,-275,0.4,0.568,27.5,34.375,1.7857,2.6,0.5,0.659,27,29,"1"
205,-250,0.43,0.48,3.8,4.53,1.47,4.7,0.23,0.58,33,29,"1"
150,-170,0.5,0.498,54.375,85.6316,1.6667,0,0.3,0,31,25,"0"
-320,260,0.41,0.428,43.6667,45,1.1429,0.6364,0.18,0.5,30,25,"0"
190,-235,0.25,0.56,24,60.5,0.5,0.6667,0.313,0.18,33,28,"1"
480,-645,0.31,0.35,75,85.25,0,2,0,0.334,27,27,"1"
-110,-110,0.48,0.55,17.6667,7.5,0.3333,1.05,0.25,0.5,30,37,"1"
435,-500,0.49,0.61,6.12,2.84,0.83,1.93,0.18,0.53,29,30,"1"
-137,112,0.46,0.5,4.5,2.8,3.27,0.57,0.63,0.26,26,29,"0"
-139,116,0.45,0.51,2.8,1.72,2.14,3.3,0.31,0.38,35,32,"1"
160,-200,0.58,0.48,19.841809878528,21.4444,2.83,2.29,0.537,0.438,30,33,"1"
-160,140,0.252,0.387,5.5,86.5,1,0,0.16,0,23,27,"0"
59.7932402411945,-115.711474369147,0.48,0.44,4.49,2.73,2.17,3.38,0.29,0.77,30,26,"1"
-255,215,0.32,0.333,39,13.6,0.3846,1.5,0.167,0.42,34,31,"1"
-535,425,0.51,0.39,6.62,4.91,0,0.36,0,0.57,35,33,"0"
59.7932402411945,-115.711474369147,0.45,0.48,3.74,3.72,1.1,3.29,0.36,0.36,28,28,"1"
245,-290,0.54,0.547,31.6667,20.1538,1.3333,2,0.53,0.666,31,27,"1"
140,-166,0.38,0.266,14,21.1527659641032,1.25,3,0.173,0.356,24,34,"1"
-115,-105,0.494,0.56,4.05,3.27,0.84,0.46,0.5,1,27,23,"0"
155,-165,0.4,0.57,5.48,7.5,0,1.42,0,0.33,27,29,"1"
245,-290,0.545,0.44,5.53,4.32,1.11,0.72,0.439,0.33,27,29,"1"
170,-185,0.47,0.49,4.55,5.6,1,0.84,1,0.55,26,24,"1"
114,-135,0.49,0.379,43.7143,48.8571,0.5455,0.6471,0.154,0.5,24,33,"0"
145,-165,0.57,0.42,34.25,42.5,2.3333,2.5833,0.284,0.387,29,29,"1"
-155,125,0.4,0.45,3.72,4.33,2.11,2.16,0.5,0.34,30,39,"1"
